#Cache Size,FIFO,Random,LRU,Clock,Optimal
0,0,0,0,0,0
5,4.7,4.36,4.7,4.7,6.25
10,9.45,9.43,9.45,9.54,12.92
15,14.39,15.1,14.3,14.37,18.96
20,19.27,20.06,19.33,19.3,24.71
25,24,23.69,24.21,24.25,30.15
30,29.48,29.54,29.22,29.1,35.48
35,34.52,34.71,34.36,34.76,40.9
40,39.65,39.14,39.5,39.84,46.38
45,44.39,44.86,44.38,44.7,51.65
50,49.1,49.06,49.31,49.25,56.5
55,54.54,54.63,54.29,55.33,61.51
60,59.25,59.66,59.39,59.91,65.93
65,64.93,63.74,64.19,65.01,70.65
70,69.82,69.1,69.59,70.1,75.35
75,75.14,73.51,74.39,74.71,79.99
80,79.83,78.98,79.9,79.92,84.07
85,84.45,84.74,84.72,84.21,88.14
90,88.63,89.4,89.46,88.9,91.78
95,94.46,94.37,94.47,93.74,95.64
100,99,99.01,99,99,99.01
